Rosalind_2977 Rosalind_9236
Rosalind_1013 Rosalind_0965
Rosalind_1013 Rosalind_8355
Rosalind_9262 Rosalind_0398
Rosalind_9262 Rosalind_6007
Rosalind_5465 Rosalind_5566
Rosalind_2125 Rosalind_0965
Rosalind_2125 Rosalind_8355
Rosalind_0815 Rosalind_8666
Rosalind_3349 Rosalind_2750
Rosalind_3349 Rosalind_6003
Rosalind_3801 Rosalind_9275
Rosalind_3801 Rosalind_6673
Rosalind_1395 Rosalind_0815
Rosalind_0965 Rosalind_8701
Rosalind_9672 Rosalind_6845
Rosalind_3443 Rosalind_4181
Rosalind_1848 Rosalind_2688
Rosalind_4758 Rosalind_4359
Rosalind_6389 Rosalind_6778
Rosalind_6389 Rosalind_8956
Rosalind_9236 Rosalind_7516
Rosalind_9236 Rosalind_1977
Rosalind_9236 Rosalind_8153
Rosalind_9236 Rosalind_6057
Rosalind_8956 Rosalind_4181
Rosalind_4848 Rosalind_2977
Rosalind_4848 Rosalind_0721
Rosalind_4848 Rosalind_7708
Rosalind_4848 Rosalind_4059
Rosalind_0398 Rosalind_0815
Rosalind_0338 Rosalind_8666
Rosalind_7516 Rosalind_1087
Rosalind_7516 Rosalind_7088
Rosalind_6018 Rosalind_4848
Rosalind_6018 Rosalind_0067
Rosalind_6018 Rosalind_2967
Rosalind_6018 Rosalind_2483
Rosalind_6018 Rosalind_4802
Rosalind_2162 Rosalind_1703
Rosalind_2162 Rosalind_5712
Rosalind_2162 Rosalind_2721
Rosalind_1703 Rosalind_5465
Rosalind_1703 Rosalind_3613
Rosalind_1703 Rosalind_6761
Rosalind_7088 Rosalind_5566
Rosalind_4402 Rosalind_0398
Rosalind_4402 Rosalind_6007
Rosalind_8289 Rosalind_2977
Rosalind_8289 Rosalind_0721
Rosalind_8289 Rosalind_7708
Rosalind_8289 Rosalind_4059
Rosalind_8677 Rosalind_1434
Rosalind_8677 Rosalind_9671
Rosalind_5712 Rosalind_1395
Rosalind_1287 Rosalind_0369
Rosalind_8642 Rosalind_7376
Rosalind_3613 Rosalind_3349
Rosalind_3613 Rosalind_2040
Rosalind_0067 Rosalind_5465
Rosalind_0067 Rosalind_3613
Rosalind_0067 Rosalind_6761
Rosalind_6007 Rosalind_1434
